date,ticker,price
2024-01-01,AAPL,149.1888681098037
2024-01-02,AAPL,148.56699323839686
2024-01-03,AAPL,147.79199076935618
2024-01-04,AAPL,148.02977611597197
2024-01-05,AAPL,148.3718468920807
2024-01-06,AAPL,147.70050856678623
2024-01-07,AAPL,148.28474706058284
2024-01-08,AAPL,148.00173053186722
2024-01-09,AAPL,146.4236834236923
2024-01-10,AAPL,146.90461649005215
2024-01-11,AAPL,146.46951358973408
2024-01-12,AAPL,144.96332659109424
2024-01-13,AAPL,143.9694407370626
2024-01-14,AAPL,143.18828666348068
2024-01-15,AAPL,142.7374310566639
2024-01-16,AAPL,141.37637376079252
2024-01-17,AAPL,141.33111477162942
2024-01-18,AAPL,141.72114993077716
2024-01-19,AAPL,142.61542160902027
2024-01-20,AAPL,142.05656206695133
